"","district_code","1-3 Points","5-8 Points","9-12 Points","12+ Points","Total"
"1","AB",16070,3304,63,3,19641
"2","AL",7786,2534,81,6,10488
"3","BA",17361,4730,121,16,22328
"4","BB",18816,7435,269,46,26795
"5","BD",23654,10376,518,82,35040
"6","BH",23654,6550,123,14,30468
"7","BL",12330,4209,127,21,16791
"8","BN",26813,8345,247,37,35673
"9","BR",10857,4051,111,7,15227
"10","BS",42008,13023,342,42,55667
"11","CA",8765,2284,98,15,11244
"12","CB",10725,3400,100,11,14373
"13","CF",34252,11276,358,72,46385
"14","CH",21658,6660,217,61,28837
"15","CM",22840,7378,202,29,30658
"16","CO",12161,3689,117,18,16084
"17","CR",12574,5644,157,22,18665
"18","CT",11134,3858,122,17,15255
"19","CV",29626,9581,259,34,39692
"20","CW",10535,3081,102,9,13815
"21","DA",16235,6467,187,28,23118
"22","DD",7881,1867,37,5,9905
"23","DE",26630,8550,241,46,35677
"24","DG",4764,1304,57,8,6188
"25","DH",11955,3643,118,10,15825
"26","DL",14575,4467,102,12,19286
"27","DN",27800,9678,328,69,38176
"28","DT",8664,1874,35,8,10655
"29","DY",15178,4678,120,16,20060
"30","EC",561,288,7,1,866
"31","EH",24990,5393,99,9,30730
"32","EN",12057,5133,132,24,17475
"33","EX",25521,7048,178,37,32970
"34","FK",9375,1996,45,1,11532
"35","FY",7680,2819,99,15,10736
"36","GL",30489,8284,176,27,39110
"37","GU",25710,8132,188,28,34264
"38","HA",14256,6663,172,31,21322
"39","HD",12441,4407,157,28,17172
"40","HG",5647,1713,47,11,7472
"41","HP",22515,6678,138,20,29530
"42","HR",6746,1712,42,1,8535
"43","HS",568,134,4,0,718
"44","HU",13552,4536,178,39,18478
"45","HX",7865,2940,124,18,11079
"46","IG",11529,5798,171,21,17686
"47","IP",22733,6711,186,27,29919
"48","IV",7212,1785,47,1,9109
"49","KA",10668,2543,51,3,13374
"50","KT",19525,7417,173,21,27392
"51","KW",1330,333,8,1,1692
"52","KY",10905,2544,53,3,13682
"53","LA",8062,2197,97,5,10473
"54","LD",1747,451,17,3,2237
"55","LE",36071,12141,425,82,49009
"56","LL",15363,5049,165,37,20852
"57","LN",11710,3906,160,27,15891
"58","LS",34213,12548,460,99,47761
"59","LU",13039,4898,139,23,18322
"60","ME",24598,9238,248,40,34326
"61","MK",19076,6278,166,20,25759
"62","ML",10631,2719,68,8,13575
"63","NE",28449,8319,283,35,37334
"64","NG",44208,13597,434,78,58697
"65","NN",29433,10169,316,36,40234
"66","NP",20452,6654,224,40,27614
"67","NR",28036,8620,249,38,37277
"68","NW",15623,8275,227,32,24397
"69","OL",15110,5579,167,31,21033
"70","OX",23715,6781,122,16,30791
"71","PA",9197,2038,36,1,11389
"72","PE",33275,11206,401,89,45331
"73","PH",5472,1415,16,1,6954
"74","PL",26413,9119,280,81,36132
"75","PO",23162,6864,177,13,30410
"76","PR",18620,6127,204,36,25237
"77","RG",29117,8544,162,18,38018
"78","RH",20859,6144,157,17,27333
"79","RM",18325,8936,238,46,27792
"80","SA",27192,7970,267,34,35931
"81","SE",26315,12641,406,57,40100
"82","SG",12646,3648,95,8,16561
"83","SK",19031,5505,177,25,24877
"84","SL",18600,6457,145,22,25335
"85","SM",6301,2410,65,10,8906
"86","SN",14700,4562,91,17,19544
"87","SO",20163,5901,136,18,26431
"88","SP",8323,2265,41,5,10703
"89","SR",7556,2343,82,9,10050
"90","SS",17366,6087,180,32,23803
"91","ST",19788,7016,200,29,27198
"92","SW",22015,10358,243,34,33067
"93","SY",11966,3166,68,11,15335
"94","TA",16034,4420,109,19,20684
"95","TD",2762,690,17,5,3528
"96","TF",11289,3300,84,13,14749
"97","TN",23335,7112,191,21,30874
"98","TQ",12524,3767,77,17,16468
"99","TR",14994,4890,112,24,20148
"100","TS",18088,6059,182,28,24547
"101","TW",19227,8702,223,34,28415
"102","UB",12629,6070,180,17,19087
"103","UN",1358,490,16,1,1880
"104","WA",23842,7273,239,33,31563
"105","WC",488,224,6,1,729
"106","WD",10559,3602,105,17,14408
"107","WF",21672,8091,342,63,30447
"108","WN",9903,3027,108,17,13145
"109","WR",12859,3563,68,7,16545
"110","WS",16718,5555,166,17,22604
"111","WV",13920,4984,149,22,19190
"112","YO",21177,6247,180,40,27819
"113","ZE",281,82,3,0,369
