"","accident_year","time","no_collisions"
"1",2019,"00",1204
"2",2019,"01",843
"3",2019,"02",625
"4",2019,"03",491
"5",2019,"04",531
"6",2019,"05",885
"7",2019,"06",1860
"8",2019,"07",4108
"9",2019,"08",5534
"10",2019,"09",3868
"11",2019,"10",3545
"12",2019,"11",4034
"13",2019,"12",4393
"14",2019,"13",4675
"15",2019,"14",4790
"16",2019,"15",5624
"17",2019,"16",6320
"18",2019,"17",7015
"19",2019,"18",5718
"20",2019,"19",4252
"21",2019,"20",3057
"22",2019,"21",2564
"23",2019,"22",2273
"24",2019,"23",1647
"25",2020,"00",783
"26",2020,"01",612
"27",2020,"02",448
"28",2020,"03",374
"29",2020,"04",363
"30",2020,"05",669
"31",2020,"06",1467
"32",2020,"07",2830
"33",2020,"08",3653
"34",2020,"09",2889
"35",2020,"10",2993
"36",2020,"11",3455
"37",2020,"12",3861
"38",2020,"13",4123
"39",2020,"14",4386
"40",2020,"15",4804
"41",2020,"16",5154
"42",2020,"17",5563
"43",2020,"18",4650
"44",2020,"19",3562
"45",2020,"20",2656
"46",2020,"21",2237
"47",2020,"22",1777
"48",2020,"23",1281
"49",2021,"00",969
"50",2021,"01",721
"51",2021,"02",531
"52",2021,"03",406
"53",2021,"04",400
"54",2021,"05",707
"55",2021,"06",1519
"56",2021,"07",3002
"57",2021,"08",4173
"58",2021,"09",3147
"59",2021,"10",3124
"60",2021,"11",3741
"61",2021,"12",4394
"62",2021,"13",4348
"63",2021,"14",4738
"64",2021,"15",5243
"65",2021,"16",5871
"66",2021,"17",6257
"67",2021,"18",4936
"68",2021,"19",3897
"69",2021,"20",2939
"70",2021,"21",2320
"71",2021,"22",1945
"72",2021,"23",1436
"73",2022,"00",1131
"74",2022,"01",818
"75",2022,"02",575
"76",2022,"03",492
"77",2022,"04",474
"78",2022,"05",710
"79",2022,"06",1522
"80",2022,"07",3227
"81",2022,"08",4625
"82",2022,"09",3189
"83",2022,"10",3298
"84",2022,"11",3621
"85",2022,"12",4228
"86",2022,"13",4307
"87",2022,"14",4570
"88",2022,"15",5186
"89",2022,"16",5751
"90",2022,"17",6285
"91",2022,"18",4984
"92",2022,"19",3995
"93",2022,"20",2874
"94",2022,"21",2311
"95",2022,"22",2036
"96",2022,"23",1619
"97",2023,"00",1115
"98",2023,"01",768
"99",2023,"02",549
"100",2023,"03",450
"101",2023,"04",427
"102",2023,"05",782
"103",2023,"06",1451
"104",2023,"07",3143
"105",2023,"08",4373
"106",2023,"09",3205
"107",2023,"10",3070
"108",2023,"11",3453
"109",2023,"12",3920
"110",2023,"13",4112
"111",2023,"14",4335
"112",2023,"15",5173
"113",2023,"16",5707
"114",2023,"17",6153
"115",2023,"18",4855
"116",2023,"19",3725
"117",2023,"20",2794
"118",2023,"21",2358
"119",2023,"22",2021
"120",2023,"23",1548
