"","district_code","no_collisions","total_collisions","percentage","collision_group","collision_rank"
"1","AL",4027,356525,1.12951405932263,"Low Risk","1"
"2","B",16187,356525,4.54021457120819,"High Risk","3"
"3","BA",7097,356525,1.99060374447795,"Medium Risk","2"
"4","BB",4568,356525,1.2812565738728,"Medium Risk","2"
"5","BD",11112,356525,3.116751980927,"High Risk","3"
"6","BH",1245,356525,0.34920412313302,"Low Risk","1"
"7","BL",2340,356525,0.656335460346399,"Low Risk","1"
"8","BN",10840,356525,3.04045999579272,"High Risk","3"
"9","BR",11898,356525,3.33721337914592,"High Risk","3"
"10","BS",3881,356525,1.08856321436084,"Low Risk","1"
"11","CA",1354,356525,0.379777014234626,"Low Risk","1"
"12","CB",5757,356525,1.61475352359582,"Medium Risk","2"
"13","CF",4247,356525,1.19122081200477,"Low Risk","1"
"14","CH",6606,356525,1.85288549190099,"Medium Risk","2"
"15","CM",8222,356525,2.30614963887525,"Medium Risk","2"
"16","CO",1432,356525,0.401654862912839,"Low Risk","1"
"17","CR",8514,356525,2.38805132879882,"Medium Risk","2"
"18","CT",5894,356525,1.65318000140243,"Medium Risk","2"
"19","CV",3160,356525,0.886333356707103,"Low Risk","1"
"20","CW",2054,356525,0.576116681859617,"Low Risk","1"
"21","DA",3233,356525,0.906808779187995,"Low Risk","1"
"22","DE",6056,356525,1.69861861019564,"Medium Risk","2"
"23","DH",2881,356525,0.808077974896571,"Low Risk","1"
"24","DL",2365,356525,0.663347591333006,"Low Risk","1"
"25","DN",14102,356525,3.95540284692518,"High Risk","3"
"26","DT",887,356525,0.24879040740481,"Low Risk","1"
"27","DY",2635,356525,0.73907860598836,"Low Risk","1"
"28","E",13119,356525,3.6796858565318,"High Risk","3"
"29","EC",8407,356525,2.35803940817614,"Medium Risk","2"
"30","EN",6215,356525,1.74321576327046,"Medium Risk","2"
"31","EX",7278,356525,2.04137157282098,"Medium Risk","2"
"32","FY",2059,356525,0.577519108056939,"Low Risk","1"
"33","GL",6033,356525,1.69216744968796,"Medium Risk","2"
"34","GU",9231,356525,2.58915924549471,"Medium Risk","2"
"35","HA",9385,356525,2.6323539723722,"Medium Risk","2"
"36","HP",2114,356525,0.592945796227474,"Low Risk","1"
"37","HU",2274,356525,0.637823434541757,"Low Risk","1"
"38","IG",1513,356525,0.424374167309445,"Low Risk","1"
"39","IP",3292,356525,0.923357408316387,"Low Risk","1"
"40","KT",5815,356525,1.63102166748475,"Medium Risk","2"
"41","L",6252,356525,1.75359371713064,"Medium Risk","2"
"42","LA",1613,356525,0.452422691255873,"Low Risk","1"
"43","LE",3629,356525,1.01788093401585,"Low Risk","1"
"44","LL",1682,356525,0.471776172778907,"Low Risk","1"
"45","LN",2909,356525,0.815931561601571,"Low Risk","1"
"46","LU",1178,356525,0.330411612088914,"Low Risk","1"
"47","M",6940,356525,1.94656756188206,"Medium Risk","2"
"48","ME",3074,356525,0.862211626113176,"Low Risk","1"
"49","MK",3861,356525,1.08295350957156,"Low Risk","1"
"50","N",2767,356525,0.776102657597644,"Low Risk","1"
"51","NE",2439,356525,0.684103499053362,"Low Risk","1"
"52","NG",4360,356525,1.22291564406423,"Medium Risk","2"
"53","NN",601,356525,0.168571628918028,"Low Risk","1"
"54","NP",468,356525,0.13126709206928,"Low Risk","1"
"55","NR",2742,356525,0.769090526611037,"Low Risk","1"
"56","NW",2006,356525,0.562653390365332,"Low Risk","1"
"57","OX",1754,356525,0.491971110020335,"Low Risk","1"
"58","PE",2058,356525,0.577238622817474,"Low Risk","1"
"59","PL",2022,356525,0.56714115419676,"Low Risk","1"
"60","PO",4707,356525,1.32024402215833,"Medium Risk","2"
"61","PR",1021,356525,0.286375429493023,"Low Risk","1"
"62","RG",3185,356525,0.89334548769371,"Low Risk","1"
"63","RH",838,356525,0.235046630671061,"Low Risk","1"
"64","S",3295,356525,0.92419886403478,"Low Risk","1"
"65","SA",2811,356525,0.788444008134072,"Low Risk","1"
"66","SE",3417,356525,0.958418063249421,"Low Risk","1"
"67","SL",845,356525,0.237010027347311,"Low Risk","1"
"68","SN",1334,356525,0.37416730944534,"Low Risk","1"
"69","SO",2444,356525,0.685505925250684,"Low Risk","1"
"70","SS",1386,356525,0.388752541897483,"Low Risk","1"
"71","ST",997,356525,0.27964378374588,"Low Risk","1"
"72","SW",5548,356525,1.55613210854779,"Medium Risk","2"
"73","SY",620,356525,0.173900848467849,"Low Risk","1"
"74","TN",1446,356525,0.405581656265339,"Low Risk","1"
"75","TQ",644,356525,0.180632494214992,"Low Risk","1"
"76","TR",4,356525,0.00112194095785709,"Low Risk","1"
"77","TS",1920,356525,0.538531659771404,"Low Risk","1"
"78","TW",2214,356525,0.620994320173901,"Low Risk","1"
"79","WA",1142,356525,0.3203141434682,"Low Risk","1"
"80","WD",418,356525,0.117242830096066,"Low Risk","1"
"81","WR",323,356525,0.0905967323469602,"Low Risk","1"
"82","WS",251,356525,0.0704017951055326,"Low Risk","1"
"83","YO",1194,356525,0.334899375920342,"Low Risk","1"
